echotime,cbox_0a_coil1_c1,cbox_0a_coil1_c1c2serial,cbox_0a_coil1_c2,cbox_0a_coil1_c3,cbox_0a_coil1_transformer,cbox_0a_coil2_c1,cbox_0a_coil2_c1c2serial,cbox_0a_coil2_c2,cbox_0a_coil2_c3,cbox_0a_coil2_transformer,cbox_0a_diplexer,cbox_0a_fg_freq,cbox_0a_power_divider,cbox_0a_reg_amp,cbox_0b_coil1_c1,cbox_0b_coil1_c1c2serial,cbox_0b_coil1_c2,cbox_0b_coil1_c3,cbox_0b_coil1_transformer,cbox_0b_coil2_c1,cbox_0b_coil2_c1c2serial,cbox_0b_coil2_c2,cbox_0b_coil2_c3,cbox_0b_coil2_transformer,cbox_0b_diplexer,cbox_0b_fg_freq,cbox_0b_power_divider,cbox_0b_reg_amp,cbox_1a_coil1_c1,cbox_1a_coil1_c1c2serial,cbox_1a_coil1_c2,cbox_1a_coil1_c3,cbox_1a_coil1_transformer,cbox_1a_coil2_c1,cbox_1a_coil2_c1c2serial,cbox_1a_coil2_c2,cbox_1a_coil2_c3,cbox_1a_coil2_transformer,cbox_1a_diplexer,cbox_1a_fg_freq,cbox_1a_power_divider,cbox_1a_reg_amp,gf1,gf10,gf2,gf4,gf5,gf6,gf7,gf8,gf9,hrf_0a,hrf_0b,hrf_1a,hsf_0a,hsf_0b,hsf_1,nse0,nse1,sf_0a,sf_0b,sf_1
1.28E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35136,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.77394,0,0.82,0.82,0.001
1.41E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35150,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.77589,0,0.82,0.82,0.001
1.53E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35163,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.76995,0,0.82,0.82,0.001
1.65E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35175,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.76796,0,0.82,0.82,0.001
1.88E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35200,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.76492,0,0.82,0.82,0.001
2.13E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35226,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.75988,0,0.82,0.82,0.001
2.38E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35253,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.75491,0,0.82,0.82,0.001
2.68E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35285,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.75693,0,0.82,0.82,0.001
2.97E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35316,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.74893,0,0.82,0.82,0.001
3.23E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35343,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.7449,0,0.82,0.82,0.001
3.48E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35370,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.74091,0,0.82,0.82,0.001
4.07E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35432,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.73396,0,0.82,0.82,0.001
4.52E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35480,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.72692,0,0.82,0.82,0.001
