0	0.000000	1.05822	0	33	216
1	-0.04928	0.99689	0	35	216
2	-0.08835	1.0453	0	36	219
3	-0.03885	0.99003	0	33	216
4	0.001590	1.0061	0	34	216
5	-0.00135	1.06763	0	34	217
6	-0.01787	1.03044	0	34	217
7	0.017500	1.06296	0	35	219
8	-0.04749	0.9727	0	33	217
9	-0.01747	1.01109	0	32	217
10	-0.02111	0.99693	0	33	215
11	-0.04701	0.98484	0	35	217
12	-0.04028	0.93198	0	37	215
13	-0.00319	1.00463	0	34	219
14	-0.03994	1.00468	0	32	217
15	-0.08380	0.99965	0	32	216
16	-0.01551	0.9677	0	32	214
17	0.022530	0.99679	0	33	216
18	-0.03589	0.98572	0	34	220
19	-0.04614	0.96676	0	33	213
20	-0.02077	0.96411	0	34	218
21	-0.06006	0.93914	0	33	217
22	-0.02888	1.0022	0	34	217
23	0.004130	0.95119	0	34	216
24	-0.00847	0.99518	0	33	216
25	-0.02340	0.97265	0	34	216
26	-0.02427	0.99667	0	34	217
27	-0.06301	0.99067	0	35	217
28	-0.00640	0.94252	0	30	214
29	-0.01993	1.07012	0	33	216
30	0.010600	1.02265	0	34	218
31	-0.04694	0.94915	0	33	215
32	-0.02722	0.95977	0	34	217
33	-0.02819	0.92114	0	32	215
34	-0.07385	1.00186	0	35	219
35	-0.05010	1.03444	0	35	220
36	-0.04684	0.99789	0	32	215
37	-0.06689	1.08766	0	34	218
38	-0.04880	0.9791	0	35	217
39	-0.04324	0.97049	0	33	218
40	-0.07879	1.02481	0	35	219
41	-0.02682	1.00369	0	33	216
42	-0.00588	0.98728	0	37	216
43	0.005280	0.96103	0	34	216
44	-0.02503	0.96198	0	33	217
45	-0.04485	1.0029	0	34	216
46	-0.02285	0.97489	0	32	215
47	-0.02513	0.94333	0	35	217
48	0.004620	0.95539	0	34	216
49	-0.01395	0.91988	0	34	216
50	-0.03546	1.11247	0	32	216
51	-0.02083	0.98663	0	32	214
52	-0.00259	0.95053	0	36	219
53	-0.01959	1.07202	0	35	217
54	-0.02230	1.00016	0	32	213
55	-0.02261	1.12352	0	36	219
56	-0.03655	1.02057	0	34	217
57	-0.05844	1.16224	0	34	216
58	-0.01329	1.03635	0	35	219
59	-0.02271	1.00753	0	34	216
60	0.026420	1.02086	0	33	216
61	0.021830	0.91408	0	34	215
62	0.002140	0.94296	0	37	218
63	-0.09654	1.16728	0	36	219
64	-0.08155	1.09977	0	34	217
65	-0.07965	1.09135	0	34	216
66	-0.02516	1.02972	0	36	219
67	-0.03913	0.97147	0	36	219
68	-0.02285	0.96079	0	32	215
69	-0.08067	1.04354	0	32	215
70	-0.04459	1.13707	0	33	216
71	-0.07026	1.02322	0	34	216
72	-0.01118	0.89763	0	32	215
73	-0.03879	0.96773	0	28	213
74	0.022480	0.90031	0	35	219
75	-0.00415	0.95977	0	33	216
76	-0.06401	0.99327	0	33	215
77	-0.02878	0.93865	0	35	219
78	-0.04920	0.93905	0	35	219
79	-0.04074	0.96458	0	35	219
