-12.99	-0.05210293
-14	-0.05555298
-15	-0.05871657
-15.99	-0.06169247
-16.99	-0.06455509
-18	-0.06730673
-19	-0.0699989
-20	-0.07261548
-21	-0.07518141
-22	-0.07770554
-22.99	-0.08017915
-24	-0.08261733
-25	-0.08502388
-26	-0.08739581
-27	-0.08973359
-28	-0.09203586
-29	-0.09429918
-30	-0.0965507
-31	-0.09876612
-32	-0.1009405
-33	-0.1031147
-34	-0.105281
-35	-0.1073795
-36	-0.1094859
-37	-0.1115849
-38	-0.113631
-39	-0.1157127
-40	-0.1177568
-41	-0.1198089
-42	-0.1218385
-43	-0.1238811
-44	-0.1259179
-45	-0.1279162
-46	-0.1299277
-47	-0.1319086
-48.01	-0.1339048
-49	-0.1358981
-50	-0.1378526
-51.01	-0.1398486
-52	-0.1418433
-53	-0.1437961
-54.01	-0.1457919
-55	-0.1477561
-56.01	-0.1497333
-57.01	-0.1516906
-58	-0.1536418
-59.01	-0.1555953
-60.01	-0.1575443
-61.01	-0.1594954
-62.01	-0.1614464
-63.01	-0.1633976
-64.01	-0.1653485
-65.01	-0.1672994
-66.01	-0.1692456
-67.01	-0.1711621
-68.01	-0.1731397
-69.01	-0.1750644
-70.01	-0.1769271
-71.01	-0.1788707
-72.01	-0.1808015
-73.01	-0.1826747
-74.01	-0.1845912
-75.01	-0.1865394
-76.01	-0.1884527
-77.01	-0.1903955
-78.01	-0.1923346
-79.01	-0.1942514
-80.01	-0.1961667
-81.01	-0.1981069
-82.01	-0.1999987
-83.01	-0.201918
-84.01	-0.2038234
-85.01	-0.2057288
-86.01	-0.2076783
-87.01	-0.2095836
-88.01	-0.2114887
-89.01	-0.2134289
-90.02	-0.2153431
-91.01	-0.217248
-92.02	-0.219153
-93.01	-0.2210577
-94.01	-0.2229622
-95.02	-0.224867
-96.02	-0.226744
-97.02	-0.2286528
-98.02	-0.2305416
-99.02	-0.2324577
-100.02	-0.234389
-101.02	-0.2362869
-102.02	-0.2381975
-103.02	-0.2401016
-104.02	-0.2420055
-105.02	-0.243902
-106.02	-0.2457812
-107.01	-0.2476733
-108.02	-0.2495763
-109.02	-0.2514799
-110.02	-0.2533832
-111.02	-0.2552866
-112.02	-0.2571834
-113.03	-0.2590775
-114.02	-0.2609598
-115.02	-0.2628555
-116.02	-0.2647605
-117.02	-0.2666208
-118.02	-0.2685198
-119.02	-0.2704225
-120.02	-0.2722809
-121.02	-0.2741833
-122.02	-0.2760687
-123.02	-0.2779506
-124.02	-0.2798463
-125.02	-0.2817485
-126.02	-0.2836505
-127.02	-0.2855259
-128.02	-0.2874103
-129.02	-0.2892823
-130.02	-0.2911695
-131.02	-0.2930671
-132.02	-0.2949284
-133.01	-0.296799
-134.01	-0.2986872
-135.01	-0.3005883
