#---- Merge Table
375
001    9.639 000 001 000 
002   10.423 000 002 000 
003   11.217 000 003 000 
004   12.001 000 004 000 
005   12.785 000 005 000 
006   13.569 000 006 000 
007   14.363 000 007 000 
008   15.147 000 008 000 
009   15.931 000 009 000 
010   16.715 000 010 000 
011   17.499 000 011 000 
012   18.292 000 012 000 
013   18.350 001 000 000 
014   18.350 000 000 001 
015   19.076 000 013 000 
016   19.175 002 000 000 
017   19.175 000 000 002 
018   19.860 000 014 000 
019   20.000 003 000 000 
020   20.000 000 000 003 
021   20.644 000 015 000 
022   20.825 004 000 000 
023   20.825 000 000 004 
024   21.438 000 016 000 
025   21.650 005 000 000 
026   21.650 000 000 005 
027   22.222 000 017 000 
028   23.006 000 018 000 
029   23.350 006 000 000 
030   23.350 000 000 006 
031   23.790 000 019 000 
032   24.175 007 000 000 
033   24.175 000 000 007 
034   24.574 000 020 000 
035   25.000 008 000 000 
036   25.000 000 000 008 
037   25.368 000 021 000 
038   25.825 009 000 000 
039   25.825 000 000 009 
040   26.152 000 022 000 
041   26.650 010 000 000 
042   26.650 000 000 010 
043   26.936 000 023 000 
044   27.720 000 024 000 
045   28.350 011 000 000 
046   28.350 000 000 011 
047   28.514 000 025 000 
048   29.175 012 000 000 
049   29.175 000 000 012 
050   29.298 000 026 000 
051   30.000 013 000 000 
052   30.000 000 000 013 
053   30.082 000 027 000 
054   30.825 014 000 000 
055   30.825 000 000 014 
056   30.866 000 028 000 
057   31.650 015 000 000 
058   31.650 000 029 000 
059   31.650 000 000 015 
060   32.444 000 030 000 
061   33.228 000 031 000 
062   33.350 016 000 000 
063   33.350 000 000 016 
064   34.012 000 032 000 
065   34.175 017 000 000 
066   34.175 000 000 017 
067   34.796 000 033 000 
068   35.000 018 000 000 
069   35.000 000 000 018 
070   35.580 000 034 000 
071   35.825 019 000 000 
072   35.825 000 000 019 
073   36.373 000 035 000 
074   36.650 020 000 000 
075   36.650 000 000 020 
076   37.157 000 036 000 
077   37.941 000 037 000 
078   38.350 021 000 000 
079   38.350 000 000 021 
080   38.725 000 038 000 
081   39.175 022 000 000 
082   39.175 000 000 022 
083   39.519 000 039 000 
084   40.000 023 000 000 
085   40.000 000 000 023 
086   40.303 000 040 000 
087   40.825 024 000 000 
088   40.825 000 000 024 
089   41.087 000 041 000 
090   41.650 025 000 000 
091   41.650 000 000 025 
092   41.871 000 042 000 
093   42.655 000 043 000 
094   42.850 026 000 000 
095   42.850 000 000 026 
096   43.449 000 044 000 
097   43.675 027 000 000 
098   43.675 000 000 027 
099   44.233 000 045 000 
100   44.500 028 000 000 
101   44.500 000 000 028 
102   45.017 000 046 000 
103   45.325 029 000 000 
104   45.325 000 000 029 
105   45.801 000 047 000 
106   46.150 030 000 000 
107   46.150 000 000 030 
108   46.595 000 048 000 
109   47.350 031 000 000 
110   47.350 000 000 031 
111   47.379 000 049 000 
112   48.163 000 050 000 
113   48.175 032 000 000 
114   48.175 000 000 032 
115   48.947 000 051 000 
116   49.000 033 000 000 
117   49.000 000 000 033 
118   49.731 000 052 000 
119   49.825 034 000 000 
120   49.825 000 000 034 
121   50.525 000 053 000 
122   50.650 035 000 000 
123   50.650 000 000 035 
124   51.309 000 054 000 
125   51.850 036 000 000 
126   51.850 000 000 036 
127   52.093 000 055 000 
128   52.675 037 000 000 
129   52.675 000 000 037 
130   52.877 000 056 000 
131   53.500 038 000 000 
132   53.500 000 000 038 
133   53.670 000 057 000 
134   54.325 039 000 000 
135   54.325 000 000 039 
136   54.454 000 058 000 
137   55.150 040 000 000 
138   55.150 000 000 040 
139   55.238 000 059 000 
140   56.022 000 060 000 
141   56.350 041 000 000 
142   56.350 000 000 041 
143   56.806 000 061 000 
144   57.175 042 000 000 
145   57.175 000 000 042 
146   57.600 000 062 000 
147   58.000 043 000 000 
148   58.000 000 000 043 
149   58.384 000 063 000 
150   58.825 044 000 000 
151   58.825 000 000 044 
152   59.168 000 064 000 
153   59.650 045 000 000 
154   59.650 000 000 045 
155   59.952 000 065 000 
156   60.736 000 066 000 
157   60.850 046 000 000 
158   60.850 000 000 046 
159   61.530 000 067 000 
160   61.675 047 000 000 
161   61.675 000 000 047 
162   62.314 000 068 000 
163   62.500 048 000 000 
164   62.500 000 000 048 
165   63.098 000 069 000 
166   63.325 049 000 000 
167   63.325 000 000 049 
168   63.882 000 070 000 
169   64.150 050 000 000 
170   64.150 000 000 050 
171   64.676 000 071 000 
172   65.350 051 000 000 
173   65.460 000 072 000 
174   66.175 052 000 000 
175   66.244 000 073 000 
176   67.000 053 000 000 
177   67.028 000 074 000 
178   67.812 000 075 000 
179   67.825 054 000 000 
180   68.650 055 000 000 
181   70.350 000 000 051 
182   71.175 000 000 052 
183   71.232 000 076 000 
184   72.000 000 000 053 
185   72.016 000 077 000 
186   72.810 000 078 000 
187   72.825 000 000 054 
188   73.594 000 079 000 
189   73.650 000 000 055 
190   74.378 000 080 000 
191   74.850 000 000 056 
192   75.162 000 081 000 
193   75.675 000 000 057 
194   75.946 000 082 000 
195   76.500 000 000 058 
196   76.740 000 083 000 
197   77.325 000 000 059 
198   77.524 000 084 000 
199   78.150 000 000 060 
200   78.308 000 085 000 
201   79.092 000 086 000 
202   79.350 056 000 000 
203   79.350 000 000 061 
204   79.876 000 087 000 
205   80.175 057 000 000 
206   80.175 000 000 062 
207   80.669 000 088 000 
208   81.000 058 000 000 
209   81.000 000 000 063 
210   81.453 000 089 000 
211   81.825 059 000 000 
212   81.825 000 000 064 
213   82.237 000 090 000 
214   82.650 060 000 000 
215   82.650 000 000 065 
216   83.021 000 091 000 
217   83.815 000 092 000 
218   83.850 061 000 000 
219   83.850 000 000 066 
220   84.599 000 093 000 
221   84.675 062 000 000 
222   84.675 000 000 067 
223   85.383 000 094 000 
224   85.500 063 000 000 
225   85.500 000 000 068 
226   86.167 000 095 000 
227   86.325 064 000 000 
228   86.325 000 000 069 
229   86.951 000 096 000 
230   87.150 065 000 000 
231   87.150 000 000 070 
232   87.745 000 097 000 
233   88.350 066 000 000 
234   88.350 000 000 071 
235   88.529 000 098 000 
236   89.175 067 000 000 
237   89.175 000 000 072 
238   89.313 000 099 000 
239   90.000 068 000 000 
240   90.000 000 000 073 
241   90.097 000 100 000 
242   90.825 069 000 000 
243   90.825 000 000 074 
244   90.891 000 101 000 
245   91.650 070 000 000 
246   91.650 000 000 075 
247   91.675 000 102 000 
248   92.459 000 103 000 
249   92.850 071 000 000 
250   92.850 000 000 076 
251   93.243 000 104 000 
252   93.675 072 000 000 
253   93.675 000 000 077 
254   94.027 000 105 000 
255   94.500 073 000 000 
256   94.500 000 000 078 
257   94.821 000 106 000 
258   95.325 074 000 000 
259   95.325 000 000 079 
260   95.605 000 107 000 
261   96.150 075 000 000 
262   96.150 000 000 080 
263   96.389 000 108 000 
264   97.173 000 109 000 
265   97.350 076 000 000 
266   97.350 000 000 081 
267   97.966 000 110 000 
