     LAMBDA/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,      solmain1,         fpi21,           fpi,         fpi22,   solsample_z,       solpi21,      solpi21a,     solpi22.3,       solpic1,       solpic2,        Q_coil,     solmain1s,          none,         cc1r1,       loop0yh,         cc3r1,        loop0z,     solphase1,     solphase2,   solanalyzer,      solguide,         cc1y1,         cc1y2,         cc3y1,         cc3y2,         cc1z1,         cc1z2,         cc3z1,    solphase1s,     solmain1h,    solsample1,        loop1z,        loop1y,        loop2z,        loop2y,        solaux,  solphase1ccx,  solphase1ccy,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
     Lambda/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,     pow01: main,     pow02: pi21,     pow03: pi  ,     pow04: pi22,          pow05,          pow06,          pow07,          pow08,          pow09,         pow10,         pow11,         pow12,         pow13,         pow16,         pow17,         pow18,         pow19,    pow20: pha1,         pow21,         pow22,         pow23,         pow24,         pow25,         pow26,         pow27,         pow28,         pow29,         pow30,         pow32,         pow33,         pow34,         pow35,         pow36,         pow37,         pow38,          dum1,          dum2,          dum3,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
             6,       0.24492,          0.06,           6.4,      6.400151,       9.88821,     -1591.164,             0,       21.1576,     -0.326766,     -0.480513,    -0.5619652,      1.795446,      1.261869,    -0.3302063,     -0.634187,             0,            -0,             0,             0,             0,      8.157195,  -0.005427135,      6.340807,             0,    -0.5807163,             0,             9,            -5,     -0.121133,     -0.121133,     0.0565234,     0.0565234,    0.05294295,    0.05294295,  -0.004239316,             0,             0,      2.363711,     -8.364001,      0.711579,      9.730278,      1.412146,             0,      -9.62549,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.1592348,             1,    1775116587 
             6,       0.24492,          0.06,           8.5,      8.500201,       9.81211,     -1591.164,             0,      28.13996,    -0.3267517,    -0.4807473,    -0.5619712,      1.820819,      1.307174,     0.1124231,    -0.6296927,             0,            -0,             0,             0,             0,      10.96213, -0.0004618403,      8.742765,             0,    -0.5380299,             0,             9,            -5,    -0.1426961,    -0.1426961,    0.06649717,    0.06649717,    0.03169099,    0.03169099,  -0.005630738,             0,             0,      2.348129,     -8.590305,      0.980461,       9.91206,      1.138314,             0,     -12.93531,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.2114838,             1,    1775116618 
             6,       0.24492,          0.06,            11,      11.00026,       9.69471,     -1591.164,             0,      36.45185,    -0.3267343,    -0.4810284,    -0.5619786,      1.851257,      1.361143,     0.6406694,    -0.6243408,             0,            -0,             0,             0,             0,      14.29963,   0.005573214,      11.66782,             0,    -0.4883629,             0,             9,            -5,    -0.1750459,    -0.1750459,    0.08328401,    0.08328401,    0.01322298,    0.01322298,  -0.007287242,             0,             0,      2.329574,     -8.865838,      1.306473,      10.13341,     0.8048755,             0,     -16.87356,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.2736849,             1,    1775116655 
             6,       0.24492,          0.06,            15,      15.00035,       9.44893,     -1591.164,             0,      49.75091,    -0.3267063,    -0.4814834,    -0.5619903,      1.900484,      1.447507,      1.486333,    -0.6157784,             0,            -0,             0,             0,             0,       19.6171,     0.0152737,      16.37094,             0,    -0.4072315,             0,             9,            -5,    -0.2095433,    -0.2095433,     0.1061403,     0.1061403,   -0.02267892,   -0.02267892,  -0.009937718,             0,             0,      2.299947,     -9.308851,      1.831821,      10.48926,     0.2705554,             0,     -23.14818,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.3732066,             1,    1775116695 
             6,       0.24492,          0.06,            20,      20.00048,       9.04933,     -1591.164,             0,      66.37376,    -0.3266709,    -0.4820614,    -0.5620052,       1.96295,      1.555491,      2.544579,    -0.6050749,             0,            -0,             0,             0,             0,      26.35222,    0.02752002,      22.30989,             0,    -0.3055602,             0,             9,            -5,    -0.3897893,    -0.3897893,     0.1863171,     0.1863171,    -0.1000897,    -0.1000897,   -0.01325089,             0,             0,      2.262694,     -9.868314,       2.48038,      10.93863,     -0.418983,             0,     -31.09562,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,      0.497609,             1,    1775116742 
             6,       0.24492,          0.06,            27,       27.0007,       8.34328,     -1591.164,             0,      89.64608,    -0.3266212,    -0.4828875,    -0.5620261,       2.05213,        1.7067,      4.027231,    -0.5900872,             0,            -0,             0,             0,             0,      35.69808,    0.04476946,      30.67821,             0,    -0.1661773,             0,             9,            -5,    -0.5054039,    -0.5054039,     0.2480451,     0.2480451,    -0.1771393,    -0.1771393,   -0.01788944,             0,             0,      2.210729,     -10.65662,      3.408887,      11.57167,     -1.373278,             0,     -42.12373,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.6717735,             1,    1775116803 
             6,       0.24492,          0.06,            35,      35.00109,       7.38158,     -1591.164,             0,      116.2431,    -0.3265639,    -0.4838565,    -0.5620502,      2.156555,      1.879548,      5.722973,    -0.5729583,             0,            -0,             0,             0,             0,      46.37925,    0.06461705,      40.30497,             0,  -0.005477769,             0,             9,            -5,    -0.6364691,    -0.6364691,     0.3183941,     0.3183941,    -0.2694525,    -0.2694525,   -0.02319081,             0,             0,      2.151342,     -11.56353,      4.477127,      12.29977,     -2.469506,             0,     -54.72751,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,      0.870822,             1,    1775116858 
             6,       0.24492,          0.06,            42,      42.00162,       6.46176,     -1591.164,             0,      139.5158,    -0.3265135,    -0.4847265,    -0.5620713,      2.250145,      2.030813,      7.207456,    -0.5579695,             0,            -0,             0,             0,             0,      55.72546,    0.08206459,      48.76219,             0,     0.1348078,             0,             9,            -5,    -0.7481583,    -0.7481583,     0.3792372,     0.3792372,    -0.3463674,    -0.3463674,   -0.02782969,             0,             0,      2.099373,     -12.36035,      5.415816,       12.9393,     -3.431525,             0,     -65.75604,             0,      3.283253,             0,             0,     -88.35837,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,      1.044994,             1,    1775116928 
             6,       0.24492,          0.07,          0.49,     0.4900204,       9.98813,     -1591.164,             0,         1.502,    -0.3268022,    -0.4798647,    -0.5619499,      1.725163,      1.139432,     -1.550995,    -0.6557915,             0,            -0,             0,             0,             0,     0.4338812,   -0.01979085,     0.2513786,             0,     -0.694683,             0,             9,            -5,   -0.08068097,   -0.08068097,    0.02702659,    0.02702659,    0.08855813,    0.08855813, -0.0003242224,             0,             0,      2.407291,     -7.789753,    0.03190308,      9.269371,      2.322822,             0,    -0.5119798,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.01219163,             1,    1775116961 
             6,       0.24492,          0.07,          0.65,     0.6500219,       9.98768,     -1591.164,             0,      2.034624,    -0.3268015,    -0.4798821,    -0.5619502,      1.727052,      1.142837,     -1.518638,    -0.6554282,             0,            -0,             0,             0,             0,     0.6173672,   -0.01953592,     0.3666418,             0,    -0.6919287,             0,             9,            -5,   -0.08359029,   -0.08359029,    0.02931445,    0.02931445,    0.08837602,    0.08837602, -0.0004301497,             0,             0,      2.406181,     -7.800661,    0.04445088,      9.278089,      2.307132,             0,    -0.7284933,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.01617245,             1,    1775116976 
